,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,80,16,377,1090,42,2,1,4,5,17,5,0,1,26100,634500
1,47,0,127,0,40,2,2,2,2,18,9,1,1,127000,151500
2,41,0,127,1179,19,1,0,2,2,23,9,1,1,175000,19750
3,32,0,127,0,38,2,0,2,17,13,9,1,1,325,52000
4,32,0,127,1179,35,2,1,4,4,4,9,1,1,207000,148750
5,11,0,127,1179,24,2,0,4,2,17,8,0,1,320000,42500
6,8,0,127,1179,39,2,1,2,2,16,9,0,1,183,170000
7,5,0,127,0,39,2,0,2,17,4,5,1,1,79000,82500
8,86,0,308,1750,44,4,1,3,1,4,9,2,0,15662,189000
9,86,0,308,1750,44,4,1,3,1,9,9,2,0,31971,189000
10,70,0,127,0,26,1,0,2,2,22,5,1,1,252000,36750
11,22,0,127,0,35,2,0,1,17,9,9,0,1,232000,52000
12,19,0,127,0,39,2,0,2,17,22,5,1,1,168000,84000
13,79,0,127,0,29,2,0,2,17,4,5,0,1,230000,32000
14,79,0,127,0,29,1,0,2,2,17,9,1,1,18000,34500
15,69,0,127,0,37,2,1,4,6,22,9,0,1,249000,235000
16,65,0,127,0,42,2,2,2,17,8,5,0,1,70000,97500
17,65,0,127,0,38,2,1,4,5,22,9,0,1,210000,234900
18,59,0,127,0,29,1,0,3,3,13,9,1,1,240000,50000
19,21,17,368,1214,39,2,1,6,3,22,0,0,1,54000,457500
20,56,0,308,1750,44,4,1,3,1,9,3,2,0,13500,175000
21,56,0,308,1750,44,4,1,3,1,9,3,2,0,14000,175000
22,56,0,127,1179,37,2,0,14,18,11,0,0,1,270,82500
23,56,0,308,1750,44,4,1,3,2,18,9,0,0,29550,173900
24,42,0,308,1750,44,4,1,3,1,6,3,2,0,16563,179250
25,42,0,308,1750,44,4,1,3,1,6,3,2,0,11281,179250
26,42,0,127,0,34,2,0,1,17,5,9,1,1,150000,34000
27,42,0,127,0,34,2,0,1,17,5,9,1,1,150000,34000
28,39,0,127,1179,41,0,0,1,17,18,5,0,1,70000,77500
29,39,0,127,0,36,2,0,1,18,22,5,1,1,182,62000
30,33,0,127,1622,37,2,0,3,1,11,9,1,1,99750,86500
31,24,0,308,1750,44,4,1,3,1,6,3,2,0,11453,176750
32,24,0,308,1750,44,4,1,3,1,22,3,2,0,50943,186750
33,21,0,308,1750,44,4,1,3,1,6,3,2,0,11936,176750
34,21,0,308,1750,44,4,1,3,1,6,3,2,0,12840,176750
35,21,0,308,1750,44,4,1,3,1,6,3,2,0,10209,176750
36,21,0,308,1750,44,4,1,3,1,6,3,2,0,12008,176750
37,15,0,308,1750,44,4,1,3,2,18,9,0,0,29218,178900
38,6,0,127,1179,36,2,0,3,2,5,5,1,1,302000,51000
39,72,13,362,707,40,0,1,2,2,4,0,0,1,75000,160000
40,0,0,127,1622,29,1,0,2,1,9,9,1,1,170000,55000
41,78,0,308,1750,44,4,1,3,1,6,3,2,0,11400,176750
42,75,0,127,1179,33,2,0,2,2,9,5,1,1,189000,58750
43,61,0,127,0,39,2,1,4,5,4,9,1,1,89000,345000
44,58,0,349,1622,41,2,0,14,18,4,9,1,1,172000,92000
